"","lon","lat","Paikkakunta"
"140",21.2278352,62.3824329,"Kaskinen"
"141",31.49,62.288056,"Tolvajärvi"
"142",22.0054351,61.3648355,"Nakkila"
"143",21.4225421,60.8002023,"Uusikaupunki"
"144",27.7286008,64.2270558,"Kajaani"
"145",25.4714526,65.0126148,"OULU"
"146",26.5046438,67.9222304,"lappi"
"147",25.0109834,61.077539,"Lammi"
"148",25.2073848,65.6043277,"Kuivaniemi"
"149",25.0377329,60.2933664,"vantaa"
"150",22.8332766,62.7952984,"seinäjoki"
"151",25.0270946,60.7864735,"Hausjärvi"
"152",17.8408583,59.2459411,"Botkyrka"
"153",27.7286008,64.2270558,"kajaani"
"154",23.7690017,60.8090904,"tammela"
"155",0.4688155,46.5019905,"Turlu"
"156",25.6645682,60.3928369,"porvoo"
"157",22.3539345,61.2583443,"kokemäki"
"158",24.0310372,61.2649926,"Valkeakoski"
"159",29.8272654,61.8918214,"Kesälahti"
"160",22.4592913,60.5033247,"Lieto"
"161",30.1380045,62.0984379,"Kitee"
"162",24.2092901,60.5350616,"Karkkila"
"163",24.7665728,64.8155446,"Siikajoki"
"164",24.3721303,61.0549723,"Hattula"
"165",24.1527255,65.8444927,"Tornio"
"166",22.1309558,61.1295802,"eura"
"167",26.6243343,60.9070054,"Kuusankoski"
"168",24.6231578,62.0300404,"Mänttä"
"169",23.4355071,59.9744373,"Raasepori"
"170",24.9410248,60.1733244,"hki"
"171",25.9942517,64.8075384,"MUHOS"
"172",25.0904083,60.473944,"JÄRVENPÄÄ"
"173",23.0778126,60.397278,"Halikko/Salo"
"174",23.0591033,60.8502174,"Loimaa"
"175",25.3187153,60.6372789,"mäntsälä"
"176",24.2543931,63.2808943,"Kellokoski"
"177",24.4943078,61.3388822,"aitoo"
"178",21.8712123,60.4810769,"merimasku"
"179",23.0778126,60.397278,"Halikko"
"180",23.4857583,60.8038426,"Jokioinen"
"181",27.2734876,61.6858074,"mikkeli"
"182",29.1395699,63.5418854,"Nurmes"
"183",24.3206352,60.3339141,"Nummela"
"184",22.854367,63.2478837,"Alahärmä"
"185",22.2666303,60.4518126,"TURKU"
"186",28.5081602,61.1182338,"Joutseno"
"187",24.0045754,60.0458754,"Inkoo"
"188",23.4355071,59.9744373,"Tammisaari"
"189",25.8346031,65.3710122,"Yli-ii"
"190",24.4672831,60.993641,"Hämeenlinna"
"191",25.724999,66.4970216,"rovaniemi"
"192",24.4790186,64.6846329,"raahe"
"193",29.6235851,62.3138415,"rääkkylä"
"194",24.3574084,61.6774395,"Orivesi"
"195",27.7880216,62.4917052,"leppävirta"
"196",28.1896259,61.0549412,"lappeenranta"
"197",22.1309558,61.1295802,"Eura"
"198",25.8535881,62.5679153,"Suolahti"
"199",23.0254988,62.0117883,"Parkano"
"200",22.6870261,60.4568764,"paimio"
"201",29.520283,64.1287477,"Kuhmo"
"202",28.5081602,61.1182338,"joutseno"
"203",18.0685808,59.3293235,"Tukholma"
"204",24.3256379,60.4165735,"Vihti"
